entity,source_file
Chemistry,draeger-inc-recalls-safestar-55-breathing-system-filters-possible-obstructions-may-block-oxygen-flow.json
Medical technology,medtronic-recalls-hvad-pump-implant-kit-pump-weld-defect.json
Health,woodside-acquisitions-inc-recalls-oral-rapid-sars-cov-2-antigen-rapid-test-kits-and-joysbio-sars-cov.json
Medicine,ge-healthcare-recalls-carescape-r860-ventilator-due-early-failure-backup-batteries-may-cause.json
Nasopharyngeal swab,celltrion-usa-recalls-certain-point-care-diatrust-covid-19-ag-rapid-test-kits-labeled-research-use.json
Mechanical ventilation,philips-respironics-recalls-certain-masks-bipap-cpap-machines-due-safety-issue-magnets-may-affect.json
Medical tests,american-contract-systems-recalls-covid-test-kits-nonsterile-and-clean-catch-urine-kits-risk-false.json
Medicine,avanos-medical-recalls-cortrak2-enteral-access-system-risk-misplaced-enteral-tubes-could-cause.json
Rechargeable batteries,medtronic-recalls-heartware-hvad-system-batteries-electrical-faults-cause-battery-failure.json
Viruses,mesa-biotech-inc-recalls-certain-accula-sars-cov-2-tests-risk-false-positives-caused-contamination.json
Chemistry,getinge-usa-sales-llc-recalls-vaporizer-sevoflurane-maquet-filling-flow-family-anesthesia-systems.json
Medicine,teleflex-recalls-iso-gard-filter-s-risk-splitting-or-detaching-may-cause-leakage-and-insufficient.json
Cardiology,arrow-international-llc-subsidiary-teleflex-inc-recalls-arrow-autocat-2-ac3-intra-aortic-balloon.json
Video game controllers,livanova-tandemlife-recalls-lifesparc-system-risk-unintentional-extended-pump-stop-during-controller.json
Patient safety,baxter-healthcare-corporation-recalls-abacus-order-entry-and-calculation-software-risk-medication.json
Medicine,philips-respironics-recalls-certain-bipap-machines-plastic-issue-may-expose-patients-certain.json
Medicine,whele-llc-recalls-mighty-bliss-electric-heating-pads-due-injury-risks-including-electric-shocks-skin.json
Filter theory,cardiovascular-systems-inc-recalls-wirion-embolic-protection-device-due-complaints-filter-breakage.json
Health,jiangsu-well-biotech-co-ltd-recalls-covid-19-ag-rapid-test-devices-are-not-authorized-cleared-or.json
Clinical Laboratory Improvement Amendments,celltrion-usa-recalls-certain-point-care-diatrust-covid-19-ag-rapid-test-kits-which-may-have-been.json
Health,baxter-recalls-sigma-spectrum-infusion-pumps-master-drug-library-version-8-and-spectrum-iq-infusion.json
Smoke,arjohuntleigh-polska-recalls-sara-plus-floor-lift-risk-smoke-or-fire-when-lift-used-depleted-battery.json
Health,sml-distribution-llc-recalls-skippack-medical-lab-covid-19-direct-antigen-rapid-tests-are-not.json
Medicine,empowered-diagnostics-recalls-covid-19-tests-due-risk-false-results.json
Food and Drug Administration,dewei-medical-equipment-co-recalls-dnarna-preservation-kits-are-not-authorized-cleared-or-approved.json
Cardiac electrophysiology,medtronic-recalls-cobalt-xt-cobalt-and-crome-icds-and-crt-ds-risk-devices-may-issue-short-circuit.json
Viruses,e25bio-recalls-covid-19-direct-antigen-rapid-tests-are-not-authorized-cleared-or-approved-fda-and.json
